title,genres_clean,companies_names,director
dangerous ground,Drama,"New Line Cinema, Jacaranda Films, Investec Merchant Bank",Darrell James Roodt
picnic,"Drama, Romance",Columbia Pictures Corporation,Joshua Logan
madagascar skin,no register,no register,Chris Newby
the pompatus of love,"Comedy, Romance, Drama",BMG Independents,Richard Schenkman
small wonders,"Documentary, Family",no register,Allan Miller
fly away home,"Action, Adventure, Drama, Family","Columbia Pictures, Sandollar Productions",Carroll Ballard
bliss,"Drama, Romance","Triumph Films, Pacific Motion Pictures Corporation, Stewart Pictures",Lance Young
grace of my heart,"Drama, Comedy, Music","Universal Pictures, Cappa Productions, Gramercy Pictures (II)",Allison Anders
brother of sleep,Drama,"Dor Film Produktionsgesellschaft GmbH, Kuchenreuther Filmproduktion GmbH",Joseph Vilsmaier
maximum risk,"Action, Adventure, Thriller",Columbia Pictures,Ringo Lam
michael collins,"Drama, Thriller","Geffen Pictures, Warner Bros.",Neil Jordan
the rich man's wife,"Drama, Thriller","Caravan Pictures, Hollywood Pictures",Amy Holden Jones
infinity,"Drama, Romance","Neo Productions, Overseas FilmGroup",Matthew Broderick
big night,Drama,Rysher Entertainment,Stanley Tucci
last man standing,"Action, Crime, Drama, Thriller","New Line Cinema, Metropolitan Filmexport",Walter Hill
caught,"Action, Drama, Thriller","Cinehaus, Circle Films, DuArt",Robert M. Young
set it off,"Drama, Action, Crime",New Line Cinema,F. Gary Gray
2 days in the valley,"Comedy, Crime","Metro-Goldwyn-Mayer (MGM), Rysher Entertainment, Redemption Productions",John Herzfeld
curdled,"Comedy, Crime, Thriller",Tinderbox Films,Reb Braddock
l'associé,Comedy,no register,René Gainville
ed's next move,no register,no register,John Walsh
extreme measures,"Drama, Thriller","Columbia Pictures, Castle Rock Entertainment, Simian Films",Michael Apted
the glimmer man,"Action, Adventure, Crime, Drama, Thriller","Warner Bros., Seagal/Nasso Productions",John Gray
d3: the mighty ducks,"Action, Comedy, Drama, Family",Walt Disney,Robert Lieberman
the chamber,"Crime, Drama","Imagine Entertainment, Universal Pictures, Davis Entertainment",James Foley
the apple dumpling gang,"Comedy, Family",Walt Disney Productions,Norman Tokar
"davy crockett, king of the wild frontier","Action, Adventure, Family, Western",Walt Disney Productions,Norman Foster
escape to witch mountain,"Adventure, Fantasy, Science Fiction, Family",Walt Disney Productions,John Hough
the love bug,"Comedy, Family, Fantasy",Walt Disney Productions,Robert Stevenson
herbie rides again,"Romance, Comedy, Family, Fantasy",Walt Disney Pictures,Robert Stevenson
old yeller,"Adventure, Drama, Western",Walt Disney Productions,Robert Stevenson
the parent trap,"Comedy, Family",Walt Disney Pictures,David Swift
pollyanna,Adventure,Walt Disney Productions,David Swift
homeward bound: the incredible journey,"Adventure, Comedy, Drama, Family","Walt Disney Pictures, Touchwood Pacific Partners 1",Duwayne Dunham
the shaggy dog,"Comedy, Family",Walt Disney Productions,Charles Barton
swiss family robinson,"Adventure, Family",Walt Disney Productions,Ken Annakin
that darn cat!,"Drama, Family, Comedy",Walt Disney Productions,Robert Stevenson
"20,000 leagues under the sea","Adventure, Drama, Science Fiction",Walt Disney Productions,Richard Fleischer
cool runnings,Comedy,Walt Disney,Jon Turteltaub
angels in the outfield,"Fantasy, Drama, Comedy, Family","Walt Disney Pictures, Caravan Pictures",William Dear
cinderella,"Family, Fantasy, Animation, Romance","RKO Radio Pictures, Walt Disney Productions",Clyde Geronimi
winnie the pooh and the blustery day,"Animation, Family, Music",Walt Disney Productions,Wolfgang Reitherman
the three caballeros,"Animation, Family, Music",Walt Disney Pictures,William Roberts
the sword in the stone,"Animation, Family",Walt Disney Productions,Wolfgang Reitherman
so dear to my heart,"Animation, Drama, Family",Walt Disney Productions,Harold D. Schuster
robin hood: prince of thieves,Adventure,"Warner Bros., Morgan Creek Productions",Kevin Reynolds
mary poppins,"Comedy, Family, Fantasy",Walt Disney Productions,Robert Stevenson
dumbo,"Animation, Family","RKO Radio Pictures, Walt Disney Productions",Samuel Armstrong
pete's dragon,"Fantasy, Animation, Comedy, Family",Walt Disney Productions,Don Chaffey
bedknobs and broomsticks,"Adventure, Fantasy, Animation, Comedy, Family, Music",Walt Disney Productions,Robert Stevenson
alice in wonderland,"Animation, Adventure, Family, Fantasy","RKO Radio Pictures, Walt Disney Productions",Hamilton Luske
the fox and the hound,"Adventure, Animation, Drama, Family",Walt Disney Productions,Ted Berman
freeway,"Comedy, Drama, Thriller","The Kushner-Locke Company, August Entertainment, Multicom entertainment",Matthew Bright
the sound of music,"Drama, Family, Music, Romance","Twentieth Century Fox Film Corporation, Robert Wise Productions, Argyle Enterprises",Robert Wise
die hard,"Action, Thriller","Twentieth Century Fox Film Corporation, Gordon Company, Silver Pictures",John McTiernan
the lawnmower man,"Horror, Thriller, Science Fiction","New Line Cinema, Allied Vision",Brett Leonard
unhook the stars,"Drama, Romance",Miramax Films,Nick Cassavetes
synthetic pleasures,Documentary,no register,Iara Lee
the secret agent,"Drama, Thriller","Twentieth Century Fox Film Corporation, Capitol Films, World Film Music Limited",Christopher Hampton
secrets & lies,Drama,"Channel Four Films, October Films, CiBy 2000, Thin Man Films",Mike Leigh
that thing you do!,"Comedy, Drama","Twentieth Century Fox Film Corporation, Clinica Estetico, Clavius Base",Tom Hanks
to gillian on her 37th birthday,"Drama, Romance","Rastar Pictures, Triumph Films",Michael Pressman
surviving picasso,"Drama, Romance",Merchant Ivory Productions,James Ivory
love is all there is,"Comedy, Romance",Cinema 7,Joseph Bologna
beautiful thing,"Comedy, Drama, Romance","Channel Four Films, World Productions",Hettie MacDonald
the long kiss goodnight,"Crime, Action, Mystery, Thriller","New Line Cinema, Forge, The Steve Tisch Company",Renny Harlin
the ghost and the darkness,Adventure,"Constellation Films, Paramount",Stephen Hopkins
looking for richard,Documentary,"Twentieth Century Fox Film Corporation, Jam Productions, Chal Productions",Al Pacino
trees lounge,"Comedy, Drama",no register,Steve Buscemi
normal life,"Crime, Drama","Fine Line Features, Spelling Entertainment, Normal Life Productions",John McNaughton
get on the bus,Drama,"Columbia Pictures, 40 Acres & A Mule Filmworks",Spike Lee
shadow conspiracy,"Action, Thriller","Hollywood Pictures, Cinergi Pictures Entertainment",George P. Cosmatos
jude,"Drama, Romance","Revolution Films, PolyGram Filmed Entertainment, British Broadcasting Corporation (BBC)",Michael Winterbottom
everyone says i love you,"Music, Comedy, Romance",Miramax Films,Woody Allen
bitter sugar,"Drama, Romance","Overseas FilmGroup, Azucar Films",Leon Ichaso
romeo + juliet,"Drama, Romance","Bazmark Films, Twentieth Century Fox Film Corporation",Baz Luhrmann
swingers,"Comedy, Romance","Miramax Films, Independent Pictures (II), The Alfred Shay Company Inc.",Doug Liman
sleepers,"Crime, Drama, Thriller","Propaganda Films, Warner Bros., Baltimore Pictures",Barry Levinson
the sunchaser,Drama,"Regency Enterprises, Warner Bros.",Michael Cimino
johns,Drama,First Look Pictures,Scott Silver
aladdin and the king of thieves,"Adventure, Animation, Family",Walt Disney Television Animation,Tad Stones
the woman in question,Mystery,"Vic Films Productions, J. Arthur Rank Organisation, Javelin Films",Anthony Asquith
shall we dance,"Comedy, Music, Romance",RKO Radio Pictures,Mark Sandrich
a damsel in distress,"Comedy, Music, Romance",RKO Radio Pictures,George Stevens
crossfire,"Crime, Drama, Mystery, Thriller",RKO Radio Pictures,Edward Dmytryk
"murder, my sweet","Crime, Drama, Mystery, Thriller",RKO Radio Pictures,Edward Dmytryk
macao,"Adventure, Drama, Romance",RKO Radio Pictures,Josef von Sternberg
for the moment,"War, Drama, Romance, Action",no register,Aaron Kim Johnston
willy wonka & the chocolate factory,"Family, Fantasy","Paramount Pictures, David L. Wolper Productions",Mel Stuart
the sexual life of the belgians,"Comedy, Romance",Transatlantic Films,Jan Bucquoy
the innocents,Horror,"Twentieth Century Fox Film Corporation, Achilles",Jack Clayton
sleeper,"Comedy, Romance, Science Fiction",Rollins-Joffe Productions,Woody Allen
bananas,Comedy,"United Artists, Jack Rollins & Charles H. Joffe Productions",Woody Allen
a fish called wanda,"Comedy, Crime","Metro-Goldwyn-Mayer (MGM), Prominent Features",Charles Crichton
life of brian,Comedy,"HandMade Films, Python (Monty) Pictures",Terry Jones
victor/victoria,"Comedy, Music, Romance","Metro-Goldwyn-Mayer (MGM), Artista Management, Peerford Ltd.",Blake Edwards
the candidate,"Comedy, Drama","Warner Bros., Redford-Ritchie Productions",Michael Ritchie
the great race,"Adventure, Comedy",Warner Bros.,Blake Edwards
bonnie and clyde,"Crime, Drama","Tatira-Hiller Productions, Warner Brothers/Seven Arts",Arthur Penn
the old man and the sea,"Adventure, Drama","Warner Bros., Leland Hayward Productions",John Sturges
dial m for murder,"Crime, Mystery, Thriller",Warner Bros.,Alfred Hitchcock
madame butterfly,no register,no register,Frédéric Mitterrand
dirty dancing,"Drama, Music, Romance","Great American Films Limited Partnership, Vestron Pictures",Emile Ardolino
reservoir dogs,"Crime, Thriller","Live Entertainment, Lionsgate, Dog Eat Dog Productions Inc.",Quentin Tarantino
platoon,"Drama, War, Action","Orion Pictures, Hemdale Film Corporation",Oliver Stone
weekend at bernie's,Comedy,Gladden Entertainment,Ted Kotcheff
basic instinct,"Thriller, Mystery","TriStar Pictures, Canal+, Carolco Pictures",Paul Verhoeven
the doors,"Drama, Music","Imagine Entertainment, Ixtlan Productions, Carolco Pictures, Bill Graham Films",Oliver Stone
the crying game,"Romance, Crime, Drama, Thriller","Miramax Films, Channel Four Films, Palace Pictures, Nippon Film Development and Finance Inc., Eurotrustees, British Screen Productions",Neil Jordan
glengarry glen ross,"Crime, Drama, Mystery","New Line Cinema, GGR, Zupnik Cinema Group II",James Foley
sophie's choice,"Drama, Romance","Keith Barish Productions, Incorporated Television Company",Alan J. Pakula
e.t. the extra-terrestrial,"Science Fiction, Adventure, Family, Fantasy","Universal Pictures, Amblin Entertainment",Steven Spielberg
the search for one-eye jimmy,Comedy,Orenda Films,Sam Henry Kass
a christmas carol,"Fantasy, Drama, Family","Loew's, Metro-Goldwyn-Mayer (MGM)",Edwin L. Marin
days of thunder,Adventure,"Paramount Pictures, Don Simpson/Jerry Bruckheimer Films",Tony Scott
top gun,"Action, Romance, War",Paramount Pictures,Tony Scott
american strays,"Action, Comedy","Harmony Gold, Canned Pictures Inc",Michael Covert
rebel without a cause,Drama,Warner Bros.,Nicholas Ray
a streetcar named desire,Drama,"Charles K. Feldman Group, Warner Bros.",Elia Kazan
children of the corn iv: the gathering,Horror,Dimension Films,Greg Spence
the leopard son,Documentary,Discovery Channel Productions,Hugo Van Lawick
charm's  incidents,Comedy,Wega Film,Michael Kreihsl
microcosmos,Documentary,"Bac Films, Galatée Films, Canal+, Télévision Suisse-Romande (TSR), Urania Film, France 2 Cinéma, Conseil Général de l'Aveyron, Les Productions JMH, Delta Images",Claude Nuridsany
palookaville,Comedy,"Playhouse International Pictures, Redwave Films, Public Television Playhouse Inc.",Alan Taylor
the associate,Comedy,"Universal Pictures, Hollywood Pictures, Interscope Communications",Donald Petrie
the funeral,"Crime, Drama",C&P Productions,Abel Ferrara
the sleepover,"Comedy, Horror",no register,Chris Cullari
a single girl,Drama,Cinéa,Benoît Jacquot
the eighth day,Drama,"Eurimages, Canal+, D.A. Films, Centre National de la Cinématographie (CNC), Center for Film and Audiovisual Arts of the French Community of Belgium",Jaco Van Dormael
north star,"Action, Adventure, Drama, Western","Regency Enterprises, Warner Bros.",Nils Gaup
drunks,Drama,"Northern Lights Entertainment, BMG Independents, Kardana Films",Peter Cohn
the people vs. larry flynt,Drama,Sony Pictures,Miloš Forman
glory daze,Comedy,"Woodward Productions, Weiny Bro Prods.",Rich Wilkes
a perfect candidate,Documentary,no register,R. J. Cutler
on golden pond,Drama,Universal Pictures,Mark Rydell
the return of the pink panther,"Mystery, Comedy, Crime","United Artists, Jewel Productions, Pimlico Films, Incorporated Television Company (ITC)",Blake Edwards
drop dead fred,"Comedy, Fantasy, Family",PolyGram Filmed Entertainment,Ate de Jong
the abyss,"Adventure, Action, Thriller, Science Fiction","Twentieth Century Fox Film Corporation, Lightstorm Entertainment, Pacific Western",James Cameron
the fog,Horror,"AVCO Embassy Pictures, EDI, Debra Hill Productions",John Carpenter
escape from new york,"Science Fiction, Action","AVCO Embassy Pictures, Goldcrest Films International, International Film Investors, City Film",John Carpenter
the howling,"Drama, Horror","AVCO Embassy Pictures, International Film Investors, Wescom Productions",Joe Dante
jean de florette,Drama,"Renn Productions, Films A2, DD Productions, AMLF, Télévision Suisse-Romande (TSR), RAI Radiotelevisione Italiana",Claude Berri
manon of the spring,Drama,"Renn Productions, Films A2, DD Productions, AMLF, RAI Radiotelevisione Italiana",Claude Berri
johnny 100 pesos,Drama,"Vision Comunicaciones, Catalina Cinema, Arauco Films",Gustavo Graef-Marino
private benjamin,Comedy,Warner Bros.,Howard Zieff
monty python and the holy grail,"Adventure, Comedy, Fantasy","Python (Monty) Pictures Limited, Michael White Productions, National Film Trustee Company, Twickenham Film Studios",Terry Gilliam
hustler white,"Romance, Drama","Jürgen Brüning Filmproduktion, Dangerous to Know Swell Co., Hustler White Productions",Bruce LaBruce
dadetown,no register,no register,Russ Hexter
everything relative,Drama,Big Sister Production,Sharon Pollack
entertaining angels - the dorothy day story,Drama,no register,Michael Ray Rhodes
three lives and only one death,"Comedy, Crime","Canal+, Gemini Films, Madragoa Filmes, La Sept Cinéma, Centre National de la Cinématographie (CNC)",Raúl Ruiz
the line king: the al hirschfeld story,Documentary,no register,Susan W. Dryfoos
snowriders,Documentary,Warren Miller Entertainment,no register
curtis's charm,no register,no register,John L'Ecuyer
when we were kings,Documentary,"PolyGram Filmed Entertainment, David Sonenberg Production, Das Films",Leon Gast
the wrong trousers,"Animation, Comedy, Family",Aardman Animations,Nick Park
jlg/jlg: self-portrait in december,Documentary,"Gaumont, Peripheria",Jean-Luc Godard
the return of martin guerre,"Mystery, Crime, Drama, History, Romance","Dussault, Société Française de Production (SFP), France 3 (FR3)",Daniel Vigne
faust,"Animation, Drama, Fantasy","Pandora Cinema, British Broadcasting Corporation (BBC), Athanor, Lumen Films, Centre National de la Cinématographie (CNC), Heart of Europe Prague K Productions, Kominsk",Jan Švankmajer
he walked by night,"Drama, Thriller",Bryan Foy Productions,Anthony Mann
raw deal,Crime,"Eagle-Lion Films, Edward Small Productions",Anthony Mann
t-men,"Thriller, Crime",Edward Small Productions,Anthony Mann
the children are watching us,Drama,"Scalera Film S.p.a., Invicta Films",Vittorio De Sica
pastoral symphony,Drama,no register,Jean Delannoy
here comes cookie,no register,no register,Norman Z. McLeod
love in bloom,no register,no register,Elliott Nugent
six of a kind,Comedy,Paramount Pictures,Leo McCarey
the tin drum,"Drama, History, War","Jadran Film, Artemis Film, Franz Seitz Filmproduktion, Bioskop Film, Argos Films, Film Polski, Hallelujah Films, GGB-14",Volker Schlöndorff
the ruling class,"Drama, Comedy",Keep Films,Peter Medak
mina tannenbaum,"Drama, Comedy",UGC PH,Martine Dugowson
2 or 3 things i know about her,"Comedy, Drama","Les Films du Carrosse, Argos Films, Anouchka Films, Parc Film",Jean-Luc Godard
the bloody child,Drama,no register,Nina Menkes
dear god,Comedy,Rysher Entertainment,Garry Marshall
bad moon,Horror,Morgan Creek Productions,Eric Red
american dream,Documentary,no register,Barbara Kopple
best of the best 3: no turning back,Action,no register,Phillip Rhee
bob roberts,"Comedy, Drama",no register,Tim Robbins
cinema paradiso,"Drama, Romance",Rai Tre Radiotelevisione Italiana,Giuseppe Tornatore
"the cook, the thief, his wife & her lover","Crime, Drama","Elsevira, Erbograph Co., Vendex",Peter Greenaway
dead tired,Comedy,no register,Michel Blanc
delicatessen,"Comedy, Science Fiction, Fantasy","Hachette Première, Sofinergie Films, Fondation GAN pour le Cinéma, Victoires Productions, Constellation, Union Générale Cinématographique (UGC), Sofinergie 2, Investimage 2",Jean-Pierre Jeunet
the double life of veronique,"Drama, Thriller","Canal+, Zespól Filmowy ""Tor"", Norsk Film, Sidéral Productions",Krzysztof Kieślowski
enchanted april,"Romance, Drama","Miramax Films, BBC Films, Greenpoint Films",Mike Newell
paths of glory,"Drama, War","United Artists, Bryna Productions",Stanley Kubrick
the grifters,"Crime, Drama","Miramax Films, Cineplex-Odeon Films",Stephen Frears
hear my song,"Comedy, Foreign",Miramax Films,Peter Chelsom
the shooter,Western,"Royal Oaks Entertainment, Cabin Fever Entertainment, Amritraj / Stevens Entertainment",Fred Olen Ray
the english patient,"Drama, Romance, War","Miramax Films, Tiger Moth Productions",Anthony Minghella
mediterraneo,"Comedy, Romance, War","Penta Films, Silvio Berlusconi Communications, A.M.A. Film",Gabriele Salvatores
my left foot: the story of christy brown,Drama,"Ferndale Films, Granada Television, Radio Telefís Éireann (RTÉ)",Jim Sheridan
"sex, lies, and videotape",Drama,"Miramax Films, Outlaw Productions, Virgin",Steven Soderbergh
passion fish,Drama,Atchafalaya,John Sayles
strictly ballroom,"Comedy, Drama, Romance","Beyond Films, Australian Film Finance Corporation (AFFC), M & A",Baz Luhrmann
the thin blue line,"Mystery, Documentary, Crime",Third Floor Productions,Errol Morris
tie me up! tie me down!,"Comedy, Crime, Drama, Romance",El Deseo,Pedro Almodóvar
madonna: truth or dare,"Documentary, Music","Miramax Films, Artisan Entertainment",Alek Keshishian
paris is burning,Documentary,no register,Jennie Livingston
one flew over the cuckoo's nest,Drama,"United Artists, Fantasy Films, Warner Bros.",Miloš Forman
up in smoke,Comedy,Paramount Pictures,Lou Adler
the empire strikes back,"Adventure, Action, Science Fiction","Lucasfilm, Twentieth Century Fox Film Corporation",Irvin Kershner
the princess bride,"Adventure, Family, Fantasy, Comedy, Romance","Act III Communications, The Princess Bride Ltd., Buttercup Films Ltd.",Rob Reiner
raiders of the lost ark,"Adventure, Action","Lucasfilm, Paramount Pictures",Steven Spielberg
brazil,"Comedy, Science Fiction",Embassy International Pictures,Terry Gilliam
aliens,"Horror, Action, Thriller, Science Fiction","Twentieth Century Fox Film Corporation, SLM Production Group, Brandywine Productions",James Cameron
"the good, the bad and the ugly",Western,"United Artists, Constantin Film Produktion, Produzioni Europee Associati (PEA), Arturo González Producciones Cinematográficas S.A.",Sergio Leone
withnail & i,"Comedy, Drama","Handmade Films Ltd., The Criterion Collection",Bruce Robinson
12 angry men,Drama,"United Artists, Orion-Nova Productions",Sidney Lumet
lawrence of arabia,"Adventure, Drama, History, War",Horizon Pictures (II),David Lean
a clockwork orange,"Science Fiction, Drama","Hawk Films, Warner Bros.",Stanley Kubrick
to kill a mockingbird,"Crime, Drama",Universal Pictures,Robert Mulligan
apocalypse now,"Drama, War","United Artists, Zoetrope Studios",Francis Ford Coppola
once upon a time in the west,Western,"Paramount Pictures, Rafran Cinematografica, Finanzia San Marco",Sergio Leone
return of the jedi,"Adventure, Action, Science Fiction","Lucasfilm, Twentieth Century Fox Film Corporation",Richard Marquand
wings of desire,"Drama, Fantasy, Romance","Road Movies Filmproduktion GmbH, Argos Films, Westdeutscher Rundfunk (WDR)",Wim Wenders
the third man,"Thriller, Mystery","London Film Productions, British Lion Film Corporation, The Criterion Collection",Carol Reed
goodfellas,"Drama, Crime",Winkler Films,Martin Scorsese
alien,"Horror, Action, Thriller, Science Fiction","Twentieth Century Fox Film Corporation, Brandywine Productions",Ridley Scott
army of darkness,"Fantasy, Horror, Comedy","Universal Pictures, Renaissance Pictures, Metro-Goldwyn-Mayer (MGM), Dino De Laurentiis Company",Sam Raimi
the big blue,"Adventure, Drama, Romance",Gaumont,Luc Besson
ran,"Action, Drama, History","Nippon Herald Films, Greenwich Film Productions, Herald Ace",Akira Kurosawa
the killer,"Action, Crime, Drama, Thriller","Film Workshop, Long Shong Pictures, Golden Princess Film Production Limited",John Woo
psycho,"Drama, Horror, Thriller","Paramount Pictures, Universal Pictures, Shamley Productions",Alfred Hitchcock
the blues brothers,"Music, Comedy, Action, Crime",Universal Pictures,John Landis
the godfather: part ii,"Drama, Crime","Paramount Pictures, The Coppola Company",Francis Ford Coppola
full metal jacket,"Drama, War","Stanley Kubrick Productions, Warner Bros., Natant",Stanley Kubrick
a grand day out,"Adventure, Animation, Comedy, Science Fiction, Family",Aardman Animations,Nick Park
henry v,"War, Drama, History, Action, Romance","BBC Films, Samuel Goldwyn Company, Renaissance Films",Kenneth Branagh
amadeus,"Drama, History, Music",Warner Bros.,Miloš Forman
the quiet man,"Comedy, Drama, Romance",Republic Pictures,John Ford
once upon a time in america,"Drama, Crime","Warner Bros., The Ladd Company",Sergio Leone
raging bull,Drama,United Artists,Martin Scorsese
annie hall,"Comedy, Drama, Romance",United Artists,Woody Allen
the right stuff,"Drama, History","Warner Bros., The Ladd Company",Philip Kaufman
stalker,"Drama, Science Fiction, Thriller",Mosfilm,Andrei Tarkovsky
das boot,"Action, Drama, History, War, Adventure","Radiant Film GmbH, Süddeutscher Rundfunk, Columbia Pictures Corporation, Bavaria Film, Westdeutscher Rundfunk (WDR), Twin Bros. Productions",Wolfgang Petersen
the sting,"Comedy, Crime, Drama",Universal Pictures,George Roy Hill
harold and maude,"Comedy, Drama, Romance",Paramount Pictures,Hal Ashby
trust,"Drama, Comedy","Channel Four Films, Zenith Entertainment, Republic Pictures (II), True Fiction Pictures",Hal Hartley
the seventh seal,"Fantasy, Drama","Svensk Filmindustri (SF), The Criterion Collection",Ingmar Bergman
local hero,"Comedy, Drama","Goldcrest Films International, Enigma Productions",Bill Forsyth
the terminator,"Action, Thriller, Science Fiction","Orion Pictures, Pacific Western, Hemdale Film, Cinema 84, Euro Film Funding",James Cameron
braindead,"Horror, Comedy","WingNut Films, New Zealand Film Commission, Avalon/NFU Studios",Peter Jackson
glory,War,"TriStar Pictures, Freddie Fields Productions",Edward Zwick
rosencrantz & guildenstern are dead,"Comedy, Drama","Brandenberg, WNET Channel 13 New York",Tom Stoppard
manhattan,"Comedy, Drama, Romance","United Artists, Jack Rollins & Charles H. Joffe Productions",Woody Allen
miller's crossing,"Drama, Thriller, Crime","Twentieth Century Fox Film Corporation, Circle Films",Joel Coen
dead poets society,Drama,"Touchstone Pictures, Silver Screen Partners IV",Peter Weir
the graduate,Drama,Lawrence Turman,Mike Nichols
touch of evil,"Drama, Thriller, Crime",Universal International Pictures (UI),Orson Welles
la femme nikita,"Action, Thriller","Gaumont, Cecchi Gori Group Tiger Cinematografica, cechi gori group",Luc Besson
the bridge on the river kwai,"Drama, History, War","Columbia Pictures Corporation, Horizon Pictures (II)",David Lean
8½,"Fantasy, Drama","Cineriz, Francinex",Federico Fellini
chinatown,"Crime, Drama, Mystery, Thriller","Paramount Pictures, Penthouse, Long Road Productions",Roman Polanski
the day the earth stood still,"Drama, Science Fiction, Thriller",Twentieth Century Fox Film Corporation,Robert Wise
the treasure of the sierra madre,"Action, Adventure, Drama, Western",Warner Bros.,John Huston
bad taste,"Action, Comedy, Horror, Science Fiction","WingNut Films, New Zealand Film Commission",Peter Jackson
duck soup,Comedy,Paramount Pictures,Leo McCarey
better off dead...,Comedy,"CBS Entertainment Productions, A&M Films",Savage Steve Holland
the shining,"Horror, Thriller","Hawk Films, Warner Bros., Peregrine",Stanley Kubrick
stand by me,"Crime, Drama","Columbia Pictures, Act III Communications, The Body, Act III",Rob Reiner
m,"Drama, Action, Thriller, Crime",Nero-Film AG,Fritz Lang
evil dead ii,"Horror, Comedy, Fantasy","Renaissance Films, Rosebud Productions",Sam Raimi
the great escape,"Adventure, Drama, History, Thriller, War","United Artists, The Mirisch Corporation",John Sturges
the deer hunter,"Drama, War","Universal Pictures, EMI Films Ltd.",Michael Cimino
diva,"Action, Drama, Music, Thriller","Greenwich Film Productions, Les Films Galaxie, France 2 (FR2)",Jean-Jacques Beineix
groundhog day,"Romance, Fantasy, Drama, Comedy",Columbia Pictures,Harold Ramis
unforgiven,Western,"Malpaso Productions, Warner Bros.",Clint Eastwood
the manchurian candidate,"Mystery, Thriller","United Artists, MC Productions",John Frankenheimer
pump up the volume,"Music, Drama","New Line Cinema, SC Entertainment",Allan Moyle
arsenic and old lace,"Comedy, Crime",Warner Bros.,Frank Capra
back to the future,"Adventure, Comedy, Science Fiction, Family","Universal Pictures, Amblin Entertainment, U-Drive Productions",Robert Zemeckis
fried green tomatoes,"Drama, Comedy",Universal Pictures,Jon Avnet
patton,"Drama, History, War",Twentieth Century Fox Film Corporation,Franklin J. Schaffner
down by law,"Crime, Drama, Comedy","Island Pictures, The Criterion Collection, Black Snake, Grokenberger Film Produktion",Jim Jarmusch
akira,"Science Fiction, Animation","Bandai Visual Company, Toho Company, Mainichi Broadcasting System (MBS), Kodansha, Tokyo Movie Shinsha (TMS), TMS Entertainment, Akira Committee Company Ltd., Sumitomo Corporation",Katsuhiro Ōtomo
highlander,"Adventure, Action, Fantasy","Davis-Panzer Productions, Thorn EMI Screen Entertainment",Russell Mulcahy
cool hand luke,"Crime, Drama","Warner Bros., Jalem Productions",Stuart Rosenberg
cyrano de bergerac,"Drama, Comedy, History, Romance","Hachette Première, Films A2, DD Productions",Jean-Paul Rappeneau
young frankenstein,"Comedy, Science Fiction","Twentieth Century Fox Film Corporation, Crossbow Productions, Gruskoff/Venture Films, Jouer Limited",Mel Brooks
night on earth,"Comedy, Drama","Channel Four Films, JVC Entertainment, Le Studio Canal+, Locus Solus Entertainment, Pandora Cinema, Pyramide Productions, Victor Musical Industries",Jim Jarmusch
raise the red lantern,Drama,"China Film Co-Production Corporation, ERA International, Century Communications, Salon Films",Zhang Yimou
the great dictator,Comedy,"United Artists, Roy Export Company Establishment",Charlie Chaplin
fantasia,"Animation, Family, Music",Walt Disney Pictures,Samuel Armstrong
high noon,Western,"United Artists, Stanley Kramer Productions",Fred Zinnemann
the big sleep,"Crime, Drama, Mystery, Thriller",Warner Bros.,Howard Hawks
heathers,"Thriller, Comedy, Drama","New World Pictures, Cinemarque Entertainment",Michael Lehmann
somewhere in time,"Science Fiction, Drama, Fantasy, Romance",Rastar Pictures,Jeannot Szwarc
ben-hur,"Action, Adventure, Drama, History",Metro-Goldwyn-Mayer (MGM),William Wyler
this is spinal tap,"Comedy, Music",Spinal Tap Prod.,Rob Reiner
koyaanisqatsi,"Documentary, Music","IRE Productions, Santa Fe Institute for Regional Education",Godfrey Reggio
some kind of wonderful,"Drama, Romance","Paramount Pictures, Hughes Entertainment",Howard Deutch
indiana jones and the last crusade,"Adventure, Action","Lucasfilm, Paramount Pictures",Steven Spielberg
being there,"Comedy, Drama","United Artists, Lorimar Film Entertainment",Hal Ashby
gandhi,"Drama, History","Columbia Pictures, Goldcrest Films International, Indo-British, International Film Investors, National Film Development Corporation of India, Carolina Bank",Richard Attenborough
the unbearable lightness of being,"Comedy, Romance",The Saul Zaentz Company,Philip Kaufman
a room with a view,"Drama, Romance","Goldcrest Films International, National Film Finance Corporation (NFFC), Curzon Film Distributors",James Ivory
real genius,"Comedy, Romance","TriStar Pictures, Delphi III Productions",Martha Coolidge
pink floyd: the wall,Music,"Goldcrest Films International, Metro-Goldwyn-Mayer (MGM), Tin Blue",Alan Parker
the killing fields,"War, Drama, History","Goldcrest Films International, International Film Investors, Enigma Productions",Roland Joffé
my life as a dog,"Drama, Comedy","Svensk Filmindustri (SF), FilmTeknik",Lasse Hallström
forbidden planet,"Adventure, Science Fiction, Action",Metro-Goldwyn-Mayer (MGM),Fred M. Wilcox
field of dreams,"Drama, Fantasy",Universal Studios,Phil Alden Robinson
the man who would be king,"Adventure, Drama","Persky-Bright Productions, Devon",John Huston
butch cassidy and the sundance kid,"History, Drama, Western, Crime","Twentieth Century Fox Film Corporation, Campanile Productions, Newman-Foreman Productions",George Roy Hill
"paris, texas",Drama,"Channel Four Films, Pro-ject Filmproduktion, Argos Films, Westdeutscher Rundfunk (WDR), Road Movies Filmproduktion, Wim Wenders Stiftung",Wim Wenders
